TAZ,yosh,in_jerusalem_metropolin,jerusalem_city,sector,hh_total,pop,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75up,emp_tot,indus,com_hotel,business,public,education,agri,student,univ,UO_Hi_Ed,pop_emp_employed,slope,urban
1,0,1,1,Jewish,938,3283,330,285,246,208,229,241,224,208,174,166,154,155,160,155,134,204,2942,0,1146,1146,573,77,0,365,163,0,1372,1,2
2,0,1,1,Jewish,619,1673,74,87,112,287,222,115,65,54,66,89,106,108,100,73,45,61,1384,0,538,538,269,39,0,173,0,332,652,1,2
3,0,1,1,Jewish,428,1055,35,41,53,60,294,200,31,26,31,42,51,51,48,35,21,29,3811,0,1519,1139,1139,11,0,81,0,0,473,1,2
4,0,1,1,Jewish,297,684,50,46,41,35,39,43,40,40,35,35,30,28,32,38,44,101,4132,0,2473,1236,412,9,0,65,0,0,269,1,2
5,0,1,1,Jewish,347,800,58,54,48,41,46,50,47,46,41,41,36,33,38,44,51,118,2755,0,1062,1062,531,100,0,704,0,0,315,1,2
6,0,1,1,Jewish,242,557,40,37,33,28,32,35,32,32,29,28,25,23,26,31,35,82,1150,0,457,457,228,7,0,53,0,0,219,1,2
7,0,1,1,Jewish,614,2580,255,308,290,222,167,116,142,180,193,192,149,99,76,69,53,62,2387,0,699,1166,466,55,0,385,0,0,1056,1,2
8,0,1,1,Jewish,228,801,80,69,60,50,56,58,54,50,42,40,37,37,39,38,32,49,1514,0,450,750,300,13,0,81,0,36,334,1,2
9,0,1,1,Jewish,256,597,60,51,44,37,41,43,40,38,31,30,28,28,29,28,24,37,1542,0,459,766,306,9,0,69,0,0,249,1,2
10,0,1,1,Jewish,310,1304,129,155,146,112,84,58,72,91,97,97,75,50,38,35,27,31,1652,0,817,326,490,18,0,127,0,0,534,1,2
11,0,1,1,Jewish,240,560,56,48,42,35,39,41,38,35,29,28,26,26,27,26,22,34,2703,0,700,525,525,952,0,61,5688,0,234,1,2
12,0,1,1,U_Orthodox,146,717,92,72,79,82,90,57,31,25,21,23,27,28,28,21,15,21,35,0,8,4,3,18,0,131,0,77,183,1,2
13,0,1,1,U_Orthodox,736,3124,515,421,376,321,274,215,168,147,113,92,84,80,75,66,59,109,273,0,0,0,0,273,0,505,309,270,728,1,2
14,0,1,1,Jewish,45,189,18,22,21,16,12,8,10,13,14,14,10,7,5,5,3,4,4064,0,812,812,2436,4,0,32,0,0,77,1,2
15,0,1,1,Jewish,454,1590,160,138,119,101,111,116,108,101,84,80,75,75,77,75,65,98,1715,0,506,337,844,25,0,178,0,0,665,1,2
101,0,1,1,U_Orthodox,1192,3882,580,474,424,606,418,252,189,166,127,104,95,90,85,75,67,123,516,0,133,53,80,248,0,1335,0,2219,879,1,2
102,0,1,1,U_Orthodox,6046,12923,1080,847,922,3985,2437,820,364,291,245,270,317,330,330,248,175,254,1283,78,208,104,130,761,0,2210,0,15461,2895,1,2
103,0,1,1,U_Orthodox,1723,8205,1190,1051,1082,1285,1069,500,281,238,295,396,273,187,138,89,65,60,799,0,204,81,122,390,0,2465,0,1166,1837,1,2
104,0,1,1,U_Orthodox,386,1614,264,216,193,171,143,110,86,75,58,47,43,41,38,34,30,56,78,0,0,0,0,78,0,517,0,233,375,1,2
105,0,1,1,Jewish,382,1552,148,127,110,149,127,109,100,93,78,74,69,69,72,69,60,91,308,0,20,8,12,267,0,693,1572,413,614,1,2
106,0,1,1,U_Orthodox,629,2830,475,388,347,263,237,197,155,136,104,85,78,73,69,61,55,101,362,0,18,7,11,324,0,775,1266,521,663,1,2
107,0,1,1,U_Orthodox,683,1053,83,65,71,344,204,63,28,22,19,20,24,25,25,19,13,19,250,0,11,4,7,226,0,686,596,1235,231,1,2
