TAZ,AGG_TAZ,PUMA,DISTRICT,REGION,SCHOOLDISTRICT
1,0,14,3,1,1
2,0,14,3,1,1
3,0,14,3,1,1
4,0,14,3,1,1
5,0,14,3,1,1
6,0,14,3,1,1
7,0,14,3,1,1
8,0,14,3,1,1
9,0,14,3,1,1
10,0,14,3,1,1
11,0,14,3,1,1
12,0,6,2,1,1
13,0,6,2,1,1
14,0,14,3,1,1
15,0,14,3,1,1
101,1,5,2,1,1
102,1,5,2,1,1
103,1,5,2,1,1
104,1,5,2,1,1
105,1,14,3,1,1
106,1,5,2,1,1
107,1,5,2,1,1
108,1,5,2,1,1
109,1,5,2,1,1
110,1,5,2,1,1
111,1,5,2,1,1
112,1,5,2,1,1
113,1,5,2,1,1
201,2,999,999,1,1
202,2,17,1,1,1
203,2,17,1,1,1
204,2,17,1,1,1
205,2,17,1,1,1
206,2,17,1,1,1
207,2,17,1,1,1
208,2,17,1,1,1
209,2,17,1,1,1
301,3,17,1,1,1
302,3,14,3,1,1
303,3,17,1,1,1
304,3,17,1,1,1
401,4,1,3,1,1
402,4,999,999,1,1
403,4,999,999,1,1
404,4,14,3,1,1
405,4,14,3,1,1
406,4,14,3,1,1
407,4,14,3,1,1
408,4,14,3,1,1
409,4,6,2,1,1
501,5,1,3,1,1
502,5,1,3,1,1
503,5,1,3,1,1
504,5,1,3,1,1
505,5,1,3,1,1
506,5,1,3,1,1
507,5,1,3,1,1
508,5,1,3,1,1
509,5,1,3,1,1
510,5,1,3,1,1
511,5,1,3,1,1
601,6,999,999,1,1
602,6,999,999,1,1
603,6,999,999,1,1
604,6,999,999,1,1
605,6,14,3,1,1
606,6,14,3,1,1
607,6,999,999,1,1
608,6,14,3,1,1
609,6,999,999,1,1
610,6,14,3,1,1
611,6,999,999,1,1
701,7,14,3,1,1
702,7,1,3,1,1
703,7,14,3,1,1
704,7,14,3,1,1
705,7,1,3,1,1
706,7,14,3,1,1
707,7,6,2,1,1
708,7,14,3,1,1
801,8,14,3,1,1
802,8,14,3,1,1
803,8,6,2,1,1
804,8,14,3,1,1
805,8,5,2,1,1
806,8,14,3,1,1
807,8,14,3,1,1
808,8,14,3,1,1
809,8,14,3,1,1
810,8,14,3,1,1
901,9,5,2,1,1
902,9,5,2,1,1
903,9,5,2,1,1
904,9,5,2,1,1
905,9,5,2,1,1
906,9,5,2,1,1
907,9,5,2,1,1
908,9,5,2,1,1
1001,10,3,3,1,2
1002,10,999,999,1,2
1003,10,3,3,1,2
1004,10,3,3,1,2
1101,11,17,1,1,2
1102,11,17,1,1,2
1103,11,17,1,1,2
1104,11,17,1,1,2
1201,12,17,1,1,2
1202,12,17,1,1,2
1203,12,17,1,1,2
1204,12,17,1,1,2
1205,12,999,999,1,2
1206,12,17,1,1,2
1207,12,999,999,1,2
1301,13,17,1,1,2
1302,13,17,1,1,2
1303,13,17,1,1,2
1304,13,17,1,1,2
1305,13,999,999,1,2
1306,13,17,1,1,2
1401,14,3,3,1,2
1402,14,3,3,1,2
1403,14,3,3,1,2
1404,14,3,3,1,2
1405,14,999,999,1,2
2001,20,2,3,1,3
2101,21,17,1,1,3
2102,21,17,1,1,3
2103,21,17,1,1,3
2201,22,17,1,1,3
2202,22,17,1,1,3
2203,22,17,1,1,3
2301,23,17,1,1,3
2302,23,17,1,1,3
2303,23,17,1,1,3
2401,24,17,1,1,3
2402,24,17,1,1,3
2403,24,17,1,1,3
2404,24,17,1,1,3
2501,25,17,1,1,3
2502,25,999,999,1,3
2504,25,17,1,1,3
2505,25,17,1,1,3
3001,30,1,3,1,4
3002,30,1,3,1,4
3003,30,1,3,1,4
3004,30,1,3,1,4
3005,30,1,3,1,4
3006,30,1,3,1,4
3101,31,1,3,1,4
3102,31,1,3,1,4
3103,31,1,3,1,4
3104,31,1,3,1,4
3105,31,1,3,1,4
3106,31,1,3,1,4
3107,31,1,3,1,4
3108,31,1,3,1,4
3109,31,1,3,1,4
3110,31,1,3,1,4
3111,31,1,3,1,4
3112,31,1,3,1,4
3113,31,2,3,1,4
3201,32,2,3,1,4
3202,32,2,3,1,4
3203,32,2,3,1,4
3204,32,2,3,1,4
3205,32,2,3,1,4
3206,32,2,3,1,4
3207,32,2,3,1,4
3301,33,2,3,1,4
3302,33,2,3,1,4
3303,33,2,3,1,4
3304,33,2,3,1,4
3305,33,2,3,1,4
3306,33,999,999,1,4
3307,33,999,999,1,4
3308,33,2,3,1,4
3309,33,2,3,1,4
3310,33,2,3,1,4
3401,34,2,3,1,4
3402,34,2,3,1,4
3403,34,2,3,1,4
3404,34,2,3,1,4
3405,34,2,3,1,4
3501,35,2,3,1,4
3502,35,2,3,1,4
3503,35,2,3,1,4
3504,35,2,3,1,4
3505,35,2,3,1,4
3506,35,2,3,1,4
3507,35,2,3,1,4
3508,35,2,3,1,4
3509,35,2,3,1,4
3601,36,17,1,1,4
3602,36,17,1,1,4
3603,36,17,1,1,4
3604,36,17,1,1,4
3605,36,17,1,1,4
3606,36,17,1,1,4
3607,36,999,999,1,4
3608,36,999,999,1,999
3609,36,17,1,1,4
3610,36,17,1,1,4
3701,37,2,3,1,4
3702,37,2,3,1,4
3703,37,2,3,1,4
3704,37,2,3,1,4
3705,37,2,3,1,4
3706,37,2,3,1,4
3707,37,2,3,1,4
3708,37,2,3,1,4
3709,37,2,3,1,4
3801,38,2,3,1,4
3802,38,2,3,1,4
3803,38,2,3,1,4
3804,38,2,3,1,4
3805,38,2,3,1,4
3806,38,2,3,1,4
3807,38,2,3,1,4
3808,38,2,3,1,4
3809,38,2,3,1,4
3901,39,1,3,1,4
3902,39,1,3,1,4
3903,39,1,3,1,4
3904,39,1,3,1,4
3905,39,1,3,1,4
3906,39,1,3,1,4
3907,39,1,3,1,4
3908,39,1,3,1,4
3909,39,1,3,1,4
3910,39,1,3,1,4
3911,39,1,3,1,4
3912,39,1,3,1,4
3913,39,1,3,1,4
4001,40,7,2,1,5
4002,40,7,2,1,5
4003,40,7,2,1,5
4004,40,999,999,1,5
4005,40,7,2,1,5
4006,40,2,3,1,5
4007,40,7,2,1,5
4008,40,999,999,1,5
4009,40,999,999,1,5
4010,40,7,2,1,5
4011,40,7,2,1,5
4101,41,2,3,1,5
4102,41,999,999,1,5
4103,41,2,3,1,5
4104,41,7,2,1,5
4105,41,999,999,1,5
4201,42,2,3,1,5
4202,42,2,3,1,5
4301,43,999,999,1,5
4302,43,999,999,1,5
4303,43,999,999,1,5
4304,43,999,999,1,5
4305,43,999,999,1,5
4306,43,2,3,1,5
4307,43,999,999,1,5
4401,44,2,3,1,5
4402,44,2,3,1,5
4403,44,2,3,1,5
4404,44,2,3,1,5
4405,44,2,3,1,5
4406,44,2,3,1,5
4407,44,2,3,1,5
4501,45,2,3,1,5
4502,45,2,3,1,5
4503,45,2,3,1,5
4504,45,2,3,1,5
4505,45,2,3,1,5
4506,45,2,3,1,5
4507,45,2,3,1,5
4508,45,2,3,1,5
4601,46,2,3,1,5
4602,46,2,3,1,5
4603,46,2,3,1,5
4604,46,2,3,1,5
4605,46,2,3,1,5
4606,46,999,999,1,5
4607,46,2,3,1,5
4608,46,2,3,1,5
4611,46,2,3,1,5
4612,46,2,3,1,5
4701,47,4,3,1,5
4702,47,4,3,1,5
4703,47,2,3,1,5
4704,47,2,3,1,5
4705,47,2,3,1,5
4706,47,999,999,1,5
4707,47,999,999,1,5
4708,47,999,999,1,5
4709,47,4,3,1,5
4712,47,999,999,1,5
4713,47,999,999,1,5
4714,47,999,999,1,5
4715,47,999,999,1,5
4716,47,999,999,1,5
4717,47,999,999,1,5
4718,47,999,999,1,5
4801,48,999,999,1,5
4802,48,999,999,1,5
4803,48,999,999,1,5
4804,48,999,999,1,5
4805,48,999,999,1,5
4901,49,1,3,1,5
4902,49,1,3,1,5
4903,49,1,3,1,5
4904,49,1,3,1,5
4905,49,1,3,1,5
4906,49,1,3,1,5
4907,49,1,3,1,5
5001,50,999,999,1,6
5002,50,3,3,1,6
5003,50,999,999,1,6
5004,50,999,999,1,6
5101,51,6,2,1,6
5102,51,6,2,1,6
5103,51,6,2,1,6
5104,51,6,2,1,6
5105,51,6,2,1,6
5106,51,6,2,1,6
5107,51,6,2,1,6
5108,51,3,3,1,6
5109,51,999,999,1,6
5110,51,999,999,1,6
5111,51,6,2,1,6
5112,51,999,999,1,6
5201,52,6,2,1,6
5202,52,6,2,1,6
5203,52,6,2,1,6
5204,52,6,2,1,6
5205,52,6,2,1,6
5206,52,6,2,1,6
5207,52,6,2,1,6
5208,52,6,2,1,6
5209,52,6,2,1,6
5210,52,6,2,1,6
5211,52,6,2,1,6
5212,52,6,2,1,6
5213,52,6,2,1,6
5214,52,6,2,1,6
5301,53,7,2,1,6
5302,53,7,2,1,6
5303,53,1,3,1,6
5304,53,7,2,1,6
5305,53,7,2,1,6
5306,53,7,2,1,6
5307,53,4,3,1,6
5401,54,1,3,1,6
5402,54,1,3,1,6
5403,54,999,999,1,6
5404,54,1,3,1,6
5405,54,999,999,1,6
5406,54,999,999,1,6
5407,54,999,999,1,6
5408,54,1,3,1,6
5409,54,999,999,1,6
5501,55,1,3,1,6
5502,55,7,2,1,6
5503,55,999,999,1,6
5504,55,7,2,1,6
5505,55,7,2,1,6
5506,55,7,2,1,6
5601,56,999,999,1,6
5602,56,999,999,1,6
5603,56,999,999,1,6
5604,56,999,999,1,6
5605,56,4,3,1,6
5606,56,4,3,1,6
5701,57,6,2,1,6
5702,57,6,2,1,6
5703,57,6,2,1,6
5704,57,3,3,1,6
5705,57,3,3,1,6
5706,57,6,2,1,6
5707,57,6,2,1,6
5708,57,6,2,1,6
5801,58,6,2,1,6
5802,58,6,2,1,6
5803,58,3,3,1,6
5804,58,6,2,1,6
5805,58,6,2,1,6
5806,58,6,2,1,6
5807,58,6,2,1,6
5901,59,6,2,1,6
5902,59,6,2,1,6
5903,59,6,2,1,6
5904,59,999,999,1,6
5905,59,6,2,1,6
5906,59,6,2,1,6
5907,59,6,2,1,6
5908,59,6,2,1,6
6001,60,6,2,1,7
6002,60,6,2,1,7
6003,60,6,2,1,7
6004,60,999,999,1,7
6005,60,6,2,1,7
6006,60,6,2,1,7
6007,60,6,2,1,7
6008,60,6,2,1,7
6101,61,6,2,1,7
6102,61,6,2,1,7
6200,62,3,3,1,7
6201,62,3,3,1,7
6202,62,999,999,1,7
6203,62,3,3,1,7
6204,62,999,999,1,7
6205,62,3,3,1,7
6206,62,3,3,1,7
6207,62,3,3,1,7
6208,62,6,2,1,7
6209,62,3,3,1,7
6210,62,3,3,1,7
6211,62,3,3,1,7
6212,62,3,3,1,7
6301,63,3,3,1,7
6302,63,3,3,1,7
6303,63,3,3,1,7
6304,63,3,3,1,7
6305,63,3,3,1,7
6306,63,3,3,1,7
6307,63,3,3,1,7
6308,63,3,3,1,7
6309,63,3,3,1,7
6310,63,3,3,1,7
6401,64,18,1,1,8
6402,64,18,1,1,8
6403,64,18,1,1,8
6501,65,999,999,1,8
6502,65,18,1,1,8
6503,65,18,1,1,8
6504,65,999,999,1,8
6505,65,18,1,1,8
6506,65,18,1,1,8
6507,65,18,1,1,8
6508,65,18,1,1,8
6509,65,18,1,1,8
6510,65,18,1,1,8
6511,65,18,1,1,8
6601,66,18,1,1,8
6602,66,18,1,1,8
6603,66,18,1,1,8
6604,66,18,1,1,8
6605,66,18,1,1,8
6606,66,18,1,1,8
6607,66,18,1,1,8
6608,66,999,999,1,8
6609,66,18,1,1,8
6610,66,18,1,1,8
6611,66,999,999,1,8
6701,67,999,999,1,8
6702,67,999,999,1,8
6703,67,999,999,1,8
6704,67,18,1,1,8
6705,67,999,999,1,8
6801,68,18,1,1,8
6802,68,18,1,1,8
6803,68,999,999,1,8
6901,69,999,999,1,7
6902,69,999,999,1,7
6903,69,999,999,1,7
6904,69,999,999,1,7
6905,69,999,999,1,7
6906,69,999,999,1,7
6907,69,999,999,1,7
6908,69,999,999,1,7
6909,69,8,2,1,7
6910,69,999,999,1,7
7001,700,9,5,1,9
7002,700,9,5,1,9
7003,700,9,5,1,9
7004,700,9,5,1,9
7011,701,9,5,1,9
7012,701,9,5,1,9
7013,701,9,5,1,9
7014,701,9,5,1,9
7021,702,9,5,1,9
7022,702,9,5,1,9
7023,702,9,5,1,9
7024,702,9,5,1,9
7025,702,9,5,1,9
7026,702,9,5,1,9
7027,702,9,5,1,9
7028,702,999,999,1,9
7031,703,9,5,1,9
7032,703,9,5,1,9
7033,703,9,5,1,9
7034,703,9,5,1,9
7035,703,999,999,1,9
7036,703,9,5,1,9
7041,704,9,5,1,9
7042,704,999,999,1,9
7043,704,999,999,1,999
7051,705,999,999,1,9
7052,705,9,5,1,9
7053,705,999,999,1,9
7060,706,999,999,1,9
7061,706,999,999,1,9
7062,706,999,999,1,9
7063,706,999,999,1,9
7064,706,9,5,1,9
7065,706,999,999,1,9
7101,710,999,999,1,999
7102,710,999,999,1,999
7103,710,999,999,1,999
7104,710,999,999,1,999
7211,721,999,999,1,999
7221,722,999,999,1,999
7222,722,999,999,1,999
7223,722,999,999,1,999
7231,723,999,999,1,999
7232,723,999,999,1,999
7233,723,999,999,1,999
7240,724,999,999,1,999
7241,724,999,999,1,999
7242,724,999,999,1,999
7243,724,999,999,1,999
7244,724,999,999,1,999
7245,724,999,999,1,999
7246,724,999,999,1,999
7247,724,999,999,1,999
7248,724,999,999,1,999
7249,724,999,999,1,999
7250,725,999,999,1,999
7251,725,999,999,1,999
7252,725,999,999,1,999
7253,725,999,999,1,999
7254,725,999,999,1,999
7255,725,999,999,1,999
7256,725,999,999,1,999
7301,730,13,5,1,10
7302,730,13,5,1,10
7310,731,13,5,1,10
7311,731,13,5,1,10
7312,731,13,5,1,10
7313,731,13,5,1,10
7321,732,13,5,1,10
7331,733,15,6,1,10
7341,734,13,5,1,10
7401,740,999,999,1,10
7402,740,15,6,1,11
7403,740,15,6,1,11
7404,740,15,6,1,11
7405,740,15,6,1,11
7406,740,15,6,1,11
7412,741,15,6,1,11
7413,741,15,6,1,11
7414,741,15,6,1,11
7415,741,15,6,1,11
7416,741,15,6,1,11
7417,741,15,6,1,11
7418,741,15,6,1,11
7419,741,999,999,1,11
7421,742,15,6,1,11
7501,750,10,5,1,12
7502,750,10,5,1,12
7503,750,10,5,1,12
7504,750,10,5,1,12
7511,751,10,5,1,12
7512,751,10,5,1,12
7513,751,999,999,1,12
7514,751,10,5,1,12
7521,752,10,5,1,12
7531,753,10,5,1,12
7601,760,10,5,1,13
7602,760,10,5,1,13
7603,760,10,5,1,13
7604,760,10,5,1,13
7605,760,10,5,1,13
7606,760,10,5,1,13
7611,761,10,5,1,13
7612,761,10,5,1,13
7613,761,10,5,1,13
7614,761,10,5,1,13
7615,761,999,999,1,13
7621,762,999,999,1,13
7622,762,999,999,1,13
7623,762,10,5,1,13
7624,762,10,5,1,13
7625,762,10,5,1,13
7626,762,10,5,1,13
7627,762,10,5,1,13
7628,762,10,5,1,13
7629,762,999,999,1,13
7631,763,13,5,1,13
7641,764,10,5,1,13
7642,764,10,5,1,13
7651,765,19,1,1,13
7652,765,19,1,1,13
7661,766,15,6,1,13
7701,770,9,5,1,14
7702,770,9,5,1,14
7703,770,9,5,1,14
7704,770,9,5,1,14
7711,771,9,5,1,14
7712,771,9,5,1,14
7721,772,15,6,1,14
7731,773,9,5,1,14
7801,780,15,6,1,15
7802,780,13,5,1,15
7803,780,999,999,1,15
7811,781,13,5,1,15
7821,782,13,5,1,15
7822,782,13,5,1,15
7823,782,13,5,1,15
7824,782,13,5,1,15
7825,782,999,999,1,15
7826,782,13,5,1,15
7827,782,999,999,1,999
7831,783,13,5,1,15
7841,784,13,5,1,15
7851,785,13,5,1,15
7911,791,999,999,1,999
7912,791,999,999,1,999
7913,791,999,999,1,999
7921,792,999,999,1,999
7922,792,999,999,1,999
7930,793,999,999,1,999
7931,793,999,999,1,999
7932,793,999,999,1,999
7933,793,999,999,1,999
7934,793,999,999,1,999
7935,793,999,999,1,999
7936,793,999,999,1,999
7937,793,999,999,1,999
7938,793,999,999,1,999
7939,793,999,999,1,999
7940,794,999,999,1,999
7941,794,999,999,1,999
7942,794,999,999,1,999
7943,794,999,999,1,999
7944,794,999,999,1,999
7945,794,999,999,1,999
7946,794,999,999,1,999
7947,794,999,999,1,999
7948,794,999,999,1,999
7949,794,999,999,1,999
7950,795,999,999,1,999
7951,795,999,999,1,999
7952,795,999,999,1,999
7953,795,999,999,1,999
7954,795,999,999,1,999
7955,795,999,999,1,999
7956,795,999,999,1,999
7957,795,999,999,1,999
7958,795,999,999,1,999
7961,796,999,999,1,999
7962,796,999,999,1,999
7963,796,999,999,1,999
7964,796,999,999,1,999
7965,796,999,999,1,999
7966,796,999,999,1,999
7967,796,999,999,1,999
7968,796,999,999,1,999
7969,796,999,999,1,999
8101,810,13,5,1,10
8111,811,13,5,1,10
8121,812,13,5,1,10
8131,813,999,999,1,999
8141,814,999,999,1,999
8142,814,999,999,1,999
8143,814,999,999,1,999
8144,814,999,999,1,999
8211,821,999,999,1,999
8212,821,999,999,1,999
8221,822,999,999,1,999
8222,822,999,999,1,999
8223,822,999,999,1,999
8224,822,999,999,1,999
8225,822,999,999,1,999
8230,823,999,999,1,999
8231,823,999,999,1,999
8232,823,999,999,1,999
8233,823,999,999,1,999
8234,823,999,999,1,999
8235,823,999,999,1,10
8236,823,999,999,1,999
8237,823,999,999,1,999
8240,824,999,999,1,999
8241,824,999,999,1,999
8242,824,999,999,1,999
8243,824,999,999,1,999
8244,824,999,999,1,999
8245,824,999,999,1,999
8246,824,999,999,1,999
8247,824,999,999,1,999
8248,824,999,999,1,999
8249,824,999,999,1,999
8250,825,999,999,1,999
8251,825,999,999,1,999
8252,825,999,999,1,999
8253,825,999,999,1,999
8254,825,999,999,1,999
8255,825,999,999,1,999
8256,825,999,999,1,999
8261,826,999,999,1,999
8262,826,999,999,1,999
8271,827,999,999,1,999
8311,831,10,5,1,12
8312,831,10,5,1,12
8313,831,10,5,1,12
8314,831,999,999,1,12
8401,840,11,5,1,16
8402,840,11,5,1,16
8403,840,11,5,1,16
8404,840,11,5,1,16
8405,840,11,5,1,16
8406,840,11,5,1,16
8407,840,11,5,1,16
8408,840,11,5,1,16
8409,840,11,5,1,16
8410,841,15,6,1,16
8411,841,15,6,1,16
8412,841,15,6,1,16
8413,841,10,5,1,16
8414,841,11,5,1,16
8415,841,11,5,1,16
8416,841,11,5,1,16
8417,841,11,5,1,16
8421,842,999,999,1,16
8422,842,999,999,1,16
8423,842,999,999,1,16
8431,843,11,5,1,16
8432,843,11,5,1,16
8433,843,11,5,1,16
8434,843,11,5,1,16
8435,843,11,5,1,16
8436,843,999,999,1,16
8437,843,999,999,1,16
8438,843,10,5,1,16
8441,844,15,6,1,16
8442,844,15,6,1,16
8443,844,15,6,1,16
8444,844,15,6,1,16
8445,844,15,6,1,16
8446,844,999,999,1,16
8447,844,15,6,1,16
8448,844,15,6,1,16
8449,844,15,6,1,16
8451,845,15,6,1,16
8452,845,15,6,1,16
8453,845,15,6,1,16
8454,845,15,6,1,16
8455,845,15,6,1,16
8456,845,15,6,1,16
8457,845,15,6,1,16
8458,845,15,6,1,16
8459,845,15,6,1,16
8460,846,999,999,1,16
8461,846,15,6,1,16
8462,846,15,6,1,16
8463,846,15,6,1,16
8464,846,15,6,1,16
8465,846,15,6,1,16
8466,846,999,999,1,16
8467,846,999,999,1,16
8471,847,11,5,1,16
8472,847,15,6,1,16
8473,847,11,5,1,16
8474,847,11,5,1,16
8475,847,15,6,1,16
8476,847,15,6,1,16
8477,847,15,6,1,16
8481,848,15,6,1,16
8482,848,15,6,1,16
8483,848,15,6,1,16
8484,848,999,999,1,16
8485,848,999,999,1,16
8501,850,10,5,1,12
8502,850,10,5,1,12
8503,850,999,999,1,12
8504,850,999,999,1,12
8505,850,10,5,1,12
8506,850,11,5,1,12
8507,850,10,5,1,12
8508,850,10,5,1,12
8511,851,12,5,1,17
8512,851,999,999,1,17
8513,851,12,5,1,17
8514,851,12,5,1,17
8601,860,12,5,1,17
8602,860,12,5,1,17
8603,860,12,5,1,17
8604,860,12,5,1,17
8605,860,12,5,1,17
8606,860,12,5,1,17
8611,861,12,5,1,17
8612,861,12,5,1,17
8613,861,12,5,1,17
8614,861,12,5,1,17
8615,861,12,5,1,17
8616,861,12,5,1,17
8621,862,12,5,1,17
8622,862,12,5,1,17
8623,862,12,5,1,17
8624,862,12,5,1,17
8625,862,12,5,1,17
8626,862,12,5,1,17
8627,862,12,5,1,17
8631,863,12,5,1,17
8632,863,12,5,1,17
8633,863,12,5,1,17
8641,864,12,5,1,17
8642,864,999,999,1,17
8651,865,13,5,1,17
8652,865,999,999,1,17
8653,865,12,5,1,17
8661,866,15,6,1,18
8662,866,15,6,1,18
8663,866,15,6,1,18
8664,866,15,6,1,18
8665,866,15,6,1,18
8666,866,15,6,1,18
8671,867,15,6,1,18
8672,867,999,999,1,18
8673,867,13,5,1,18
8674,867,15,6,1,18
8681,868,12,5,1,17
8682,868,999,999,1,17
8683,868,999,999,1,17
8684,868,999,999,1,17
8685,868,999,999,1,17
8686,868,999,999,1,17
8687,868,999,999,1,17
8691,869,13,5,1,17
8692,869,13,5,1,17
8693,869,13,5,1,17
8694,869,999,999,1,999
8711,871,999,999,1,999
8712,871,999,999,1,999
8721,872,999,999,1,999
8722,872,999,999,1,999
8723,872,999,999,1,999
8724,872,999,999,1,999
8731,873,999,999,1,999
8732,873,999,999,1,999
8741,874,999,999,1,999
8742,874,999,999,1,999
8743,874,999,999,1,999
8744,874,999,999,1,999
8745,874,999,999,1,999
8810,881,999,999,1,999
8811,881,999,999,1,999
8812,881,999,999,1,999
8813,881,999,999,1,999
8814,881,999,999,1,999
8815,881,999,999,1,999
8821,882,999,999,1,999
8822,882,999,999,1,999
8823,882,999,999,1,999
8824,882,999,999,1,999
8825,882,999,999,1,999
8831,883,999,999,1,999
8832,883,999,999,1,999
8833,883,999,999,1,999
8834,883,999,999,1,999
8841,884,999,999,1,999
8842,884,999,999,1,999
8843,884,999,999,1,999
8851,885,999,999,1,999
8852,885,999,999,1,999
8861,886,999,999,1,999
8862,886,13,5,1,15
8863,886,999,999,1,999
8864,886,999,999,1,999
8871,887,999,999,1,999
8881,888,16,5,1,15
8882,888,16,5,1,15
8911,891,999,999,1,999
8912,891,999,999,1,999
8913,891,999,999,1,999
8914,891,999,999,1,999
8921,892,999,999,1,999
8922,892,999,999,1,999
8923,892,999,999,1,999
8924,892,999,999,1,999
8931,893,999,999,1,999
8932,893,999,999,1,999
8941,894,999,999,1,999
8942,894,999,999,1,999
8943,894,999,999,1,999
8944,894,999,999,1,999
8951,895,999,999,1,999
8952,895,999,999,1,999
8953,895,999,999,1,999
8954,895,999,999,1,999
8955,895,999,999,1,999
8956,895,999,999,1,999
8957,895,999,999,1,999
8961,896,999,999,1,999
8962,896,999,999,1,999
8963,896,999,999,1,999
8964,896,999,999,1,999
8965,896,999,999,1,999
8966,896,999,999,1,999
8970,897,999,999,1,999
8971,897,999,999,1,999
8972,897,999,999,1,999
8973,897,999,999,1,999
8974,897,999,999,1,999
8975,897,999,999,1,999
8976,897,999,999,1,999
8977,897,999,999,1,999
8978,897,999,999,1,999
8979,897,999,999,1,999
